disease_name,body_part,image_path,condition
acanthosis-nigricans,arm,../data-collection/dataset/disease-classification\acanthosis-nigricans\arm\acanthosis-nigricans-0003__PF.jpg,Benign
acanthosis-nigricans,arm,../data-collection/dataset/disease-classification\acanthosis-nigricans\arm\acanthosis-nigricans-0013__PF.jpg,Benign
acanthosis-nigricans,feet,../data-collection/dataset/disease-classification\acanthosis-nigricans\feet\acanthosis-nigricans-0014__PF.jpg,Benign
acanthosis-nigricans,folds,../data-collection/dataset/disease-classification\acanthosis-nigricans\folds\acanthosis-nigricans-0001__PF.jpg,Benign
acanthosis-nigricans,folds,../data-collection/dataset/disease-classification\acanthosis-nigricans\folds\acanthosis-nigricans-0007__PF.jpg,Benign
acanthosis-nigricans,folds,../data-collection/dataset/disease-classification\acanthosis-nigricans\folds\acanthosis-nigricans-0008__PF.jpg,Benign
acanthosis-nigricans,folds,../data-collection/dataset/disease-classification\acanthosis-nigricans\folds\acanthosis-nigricans-0009__PF.jpg,Benign
acanthosis-nigricans,folds,../data-collection/dataset/disease-classification\acanthosis-nigricans\folds\acanthosis-nigricans-0010__PF.jpg,Benign
acanthosis-nigricans,folds,../data-collection/dataset/disease-classification\acanthosis-nigricans\folds\acanthosis-nigricans-0015__PF.jpg,Benign
acanthosis-nigricans,folds,../data-collection/dataset/disease-classification\acanthosis-nigricans\folds\acanthosis-nigricans-0017__PF.jpg,Benign
acanthosis-nigricans,genital,../data-collection/dataset/disease-classification\acanthosis-nigricans\genital\acanthosis-nigricans-0011__PF.jpg,Benign
acanthosis-nigricans,genital,../data-collection/dataset/disease-classification\acanthosis-nigricans\genital\acanthosis-nigricans-0018__PF.jpg,Benign
acanthosis-nigricans,hand,../data-collection/dataset/disease-classification\acanthosis-nigricans\hand\acanthosis-nigricans-0002__PF.jpg,Benign
acanthosis-nigricans,hand,../data-collection/dataset/disease-classification\acanthosis-nigricans\hand\acanthosis-nigricans-0006__PF.jpg,Benign
acanthosis-nigricans,neck,../data-collection/dataset/disease-classification\acanthosis-nigricans\neck\acanthosis-nigricans-0004__PF.jpg,Benign
acanthosis-nigricans,neck,../data-collection/dataset/disease-classification\acanthosis-nigricans\neck\acanthosis-nigricans-0005__PF.jpg,Benign
acanthosis-nigricans,neck,../data-collection/dataset/disease-classification\acanthosis-nigricans\neck\acanthosis-nigricans-0012__PF.jpg,Benign
acanthosis-nigricans,neck,../data-collection/dataset/disease-classification\acanthosis-nigricans\neck\acanthosis-nigricans-0016__PF.jpg,Benign
acanthosis-nigricans,neck,../data-collection/dataset/disease-classification\acanthosis-nigricans\neck\acanthosis-nigricans-0019__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0001__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0002__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0003__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0004__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0005__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0006__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0007__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0008__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0009__PF.jpg,Benign
achenbach-syndrome,hand,../data-collection/dataset/disease-classification\achenbach-syndrome\hand\achenbach-syndrome-0010__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\141__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\142__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\143__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\144__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\146__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\148__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\149__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\150__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\151__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\152__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\154__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\157__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\159__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\160__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\161__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\165__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\166__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\167__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\169__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\171__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\172__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\173__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\174__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\175__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\176__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\177__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\178__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\179__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\181__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\182__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\183__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\184__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\185__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\188__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\189__PF.jpg,Benign
acne,back,../data-collection/dataset/disease-classification\acne\back\190__PF.jpg,Benign
